nb_infectes_max,temps_nb_infecte_max,pente_infectes_max,temps_pente_max,nb_total_infectes,R_0,beta_f,gamma,beta_m,foyer_2,CI
37.14450963811951,750.0,0.35704358025195404,6.0,154.6547568283378,1.0141870697953825,0.2,0.05,0.02,0,1
37.14450963811951,750.0,0.35704358025195404,6.0,154.6547568283378,1.0141870697953825,0.2,0.05,0.02,0,2
37.14450963811951,750.0,0.35704358025195404,6.0,154.6547568283378,1.0141870697953825,0.2,0.05,0.02,0,3
37.14450963811951,750.0,0.35704358025195404,6.0,154.6547568283378,1.0141870697953825,0.2,0.05,0.02,0,4
37.14450963811951,750.0,0.35704358025195404,6.0,154.6547568283378,1.0141870697953825,0.2,0.05,0.02,0,5
43.40061971876961,750.0,0.35723047917279604,6.0,172.0651265484682,1.01580109666317,0.2,0.05,0.02,1,1
43.40061971876961,750.0,0.35723047917279604,6.0,172.0651265484682,1.01580109666317,0.2,0.05,0.02,1,2
43.40061971876961,750.0,0.35723047917279604,6.0,172.0651265484682,1.01580109666317,0.2,0.05,0.02,1,3
43.40061971876961,750.0,0.35723047917279604,6.0,172.0651265484682,1.01580109666317,0.2,0.05,0.02,1,4
43.40061971876961,750.0,0.35723047917279604,6.0,172.0651265484682,1.01580109666317,0.2,0.05,0.02,1,5
49.115851829510724,750.0,0.35737301173289815,6.0,187.57882192241723,1.01708364268287,0.2,0.05,0.02,2,1
49.115851829510724,750.0,0.35737301173289815,6.0,187.57882192241723,1.01708364268287,0.2,0.05,0.02,2,2
49.115851829510724,750.0,0.35737301173289815,6.0,187.57882192241723,1.01708364268287,0.2,0.05,0.02,2,3
49.115851829510724,750.0,0.35737301173289815,6.0,187.57882192241723,1.01708364268287,0.2,0.05,0.02,2,4
49.115851829510724,750.0,0.35737301173289815,6.0,187.57882192241723,1.01708364268287,0.2,0.05,0.02,2,5
8888.641244468516,380.0,67.78906320528586,292.0,19416.487198689807,1.177408416718344,0.2,0.05,0.1,0,1
8888.641244468516,380.0,67.78906320528586,292.0,19416.487198689807,1.177408416718344,0.2,0.05,0.1,0,2
8888.641244468516,380.0,67.78906320528586,292.0,19416.487198689807,1.177408416718344,0.2,0.05,0.1,0,3
8888.641244468516,380.0,67.78906320528586,292.0,19416.487198689807,1.177408416718344,0.2,0.05,0.1,0,4
8888.641244468516,380.0,67.78906320528586,292.0,19416.487198689807,1.177408416718344,0.2,0.05,0.1,0,5
8986.099385822416,371.0,70.33979505511616,285.0,19410.401819204162,1.18232465384112,0.2,0.05,0.1,1,1
8986.099385822416,371.0,70.33979505511616,285.0,19410.401819204162,1.18232465384112,0.2,0.05,0.1,1,2
8986.099385822416,371.0,70.33979505511616,285.0,19410.401819204162,1.18232465384112,0.2,0.05,0.1,1,3
