foyer,nb_infectes_max,temps_nb_infecte_max,pente_infectes_max,temps_pente_max,nb_total_infectes,R_0
0.0,37.14450963811951,750.0,0.35704358025195404,6.0,154.6547568283378,1.0141870697953825
1.0,37.14450963811951,750.0,0.35704358025195404,6.0,154.6547568283378,1.0141870697953825
2.0,37.14450963811951,750.0,0.35704358025195404,6.0,154.6547568283378,1.0141870697953825
3.0,37.14450963811951,750.0,0.35704358025195404,6.0,154.6547568283378,1.0141870697953825
4.0,37.14450963811951,750.0,0.35704358025195404,6.0,154.6547568283378,1.0141870697953825
5.0,43.40061971876961,750.0,0.35723047917279604,6.0,172.0651265484682,1.01580109666317
6.0,43.40061971876961,750.0,0.35723047917279604,6.0,172.0651265484682,1.01580109666317
7.0,43.40061971876961,750.0,0.35723047917279604,6.0,172.0651265484682,1.01580109666317
8.0,43.40061971876961,750.0,0.35723047917279604,6.0,172.0651265484682,1.01580109666317
9.0,43.40061971876961,750.0,0.35723047917279604,6.0,172.0651265484682,1.01580109666317
10.0,49.115851829510724,750.0,0.35737301173289815,6.0,187.57882192241723,1.01708364268287
11.0,49.115851829510724,750.0,0.35737301173289815,6.0,187.57882192241723,1.01708364268287
12.0,49.115851829510724,750.0,0.35737301173289815,6.0,187.57882192241723,1.01708364268287
13.0,49.115851829510724,750.0,0.35737301173289815,6.0,187.57882192241723,1.01708364268287
14.0,49.115851829510724,750.0,0.35737301173289815,6.0,187.57882192241723,1.01708364268287
15.0,8888.641244468516,380.0,67.78906320528586,292.0,19416.487198689807,1.177408416718344
16.0,8888.641244468516,380.0,67.78906320528586,292.0,19416.487198689807,1.177408416718344
17.0,8888.641244468516,380.0,67.78906320528586,292.0,19416.487198689807,1.177408416718344
18.0,8888.641244468516,380.0,67.78906320528586,292.0,19416.487198689807,1.177408416718344
19.0,8888.641244468516,380.0,67.78906320528586,292.0,19416.487198689807,1.177408416718344
20.0,8986.099385822416,371.0,70.33979505511616,285.0,19410.401819204162,1.18232465384112
21.0,8986.099385822416,371.0,70.33979505511616,285.0,19410.401819204162,1.18232465384112
22.0,8986.099385822416,371.0,70.33979505511616,285.0,19410.401819204162,1.18232465384112
23.0,8986.099385822416,371.0,70.33979505511616,285.0,19410.401819204162,1.18232465384112
24.0,8986.099385822416,371.0,70.33979505511616,285.0,19410.401819204162,1.18232465384112
25.0,9079.61033945632,363.0,72.671786398525,279.0,19405.00566358039,1.1861034998522335
26.0,9079.61033945632,363.0,72.671786398525,279.0,19405.00566358039,1.1861034998522335
27.0,9079.61033945632,363.0,72.671786398525,279.0,19405.00566358039,1.1861034998522335
28.0,9079.61033945632,363.0,72.671786398525,279.0,19405.00566358039,1.1861034998522335
29.0,9079.61033945632,363.0,72.671786398525,279.0,19405.00566358039,1.1861034998522335
30.0,15276.692406772765,115.0,423.10878456186765,85.0,20016.884639149965,1.1852347120615827
31.0,15276.692406772765,115.0,423.10878456186765,85.0,20016.884639149965,1.1852347120615827
32.0,15276.692406772765,115.0,423.10878456186765,85.0,20016.884639149965,1.1852347120615827
33.0,15276.692406772765,115.0,423.10878456186765,85.0,20016.884639149965,1.1852347120615827
34.0,15276.692406772765,115.0,423.10878456186765,85.0,20016.884639149965,1.1852347120615827
35.0,15301.258232572249,114.0,429.90569294029956,84.0,20016.877286496667,1.1816310187737404
36.0,15301.258232572249,114.0,429.90569294029956,84.0,20016.877286496667,1.1816310187737404
37.0,15301.258232572249,114.0,429.90569294029956,84.0,20016.877286496667,1.1816310187737404
38.0,15301.258232572249,114.0,429.90569294029956,84.0,20016.877286496667,1.1816310187737404
39.0,15301.258232572249,114.0,429.90569294029956,84.0,20016.877286496667,1.1816310187737404
40.0,15327.367154498617,112.0,436.01524977004374,83.0,20016.87063427659,1.1789761188095131
41.0,15327.367154498617,112.0,436.01524977004374,83.0,20016.87063427659,1.1789761188095131
42.0,15327.367154498617,112.0,436.01524977004374,83.0,20016.87063427659,1.1789761188095131
43.0,15327.367154498617,112.0,436.01524977004374,83.0,20016.87063427659,1.1789761188095131
44.0,15327.367154498617,112.0,436.01524977004374,83.0,20016.87063427659,1.1789761188095131
45.0,7.18962844891755,23.0,0.2506645351451269,1.0,17.123502380237777,0.8696079002693369
46.0,7.18962844891755,23.0,0.2506645351451269,1.0,17.123502380237777,0.8696079002693369
47.0,7.18962844891755,23.0,0.2506645351451269,1.0,17.123502380237777,0.8696079002693369
48.0,7.18962844891755,23.0,0.2506645351451269,1.0,17.123502380237777,0.8696079002693369
49.0,7.18962844891755,23.0,0.2506645351451269,1.0,17.123502380237777,0.8696079002693369
50.0,7.199955319711493,24.0,0.2506645351451269,1.0,17.318753348548373,0.8715531065297486
51.0,7.199955319711493,24.0,0.2506645351451269,1.0,17.318753348548373,0.8715531065297486
52.0,7.199955319711493,24.0,0.2506645351451269,1.0,17.318753348548373,0.8715531065297486
53.0,7.199955319711493,24.0,0.2506645351451269,1.0,17.318753348548373,0.8715531065297486
54.0,7.199955319711493,24.0,0.2506645351451269,1.0,17.318753348548373,0.8715531065297486
55.0,7.207945433791043,24.0,0.2506645351451269,1.0,17.474117992687667,0.8730929502541735
56.0,7.207945433791043,24.0,0.2506645351451269,1.0,17.474117992687667,0.8730929502541735
57.0,7.207945433791043,24.0,0.2506645351451269,1.0,17.474117992687667,0.8730929502541735
58.0,7.207945433791043,24.0,0.2506645351451269,1.0,17.474117992687667,0.8730929502541735
59.0,7.207945433791043,24.0,0.2506645351451269,1.0,17.474117992687667,0.8730929502541735
